id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
421,1997,"Reinerston, Lisa",01/01/1970 12:33:17 AM +0000,Gift of Richard Blum to the city and county of San Francisco,"Bust: 29"" H X 28"" W X 18"" D; Base: 48"" H X 20"" W X 19 7/8"" D","-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall,Bronze; Marble base,bronze; marble base,San Francisco Arts Commission,Bust of Dianne Feinstein
422,1998,"Preston, Anne",01/01/1970 12:33:18 AM +0000,Commissioned as art enrichment for the district courthouse,"444""L floor X 444"" W; 60"" W X 72"" L panels;28"" H X 64"" W X 64"" W bench","-122.41883,37.780382","37.780382,-122.41883",Public Display : District 6 : Civic Center : Courthouse,"Zinc, terrazzo and marble, cast glass and bronze","zinc, terrazzo and marble, cast glass and bronze",San Francisco Arts Commission,Family Court Waiting Area
423,1998,"Paley, Albert",01/01/1970 12:33:18 AM +0000,Commissioned for Art Enrichment of the District Courthouse,"104"" H X 40"" W X 10 1/2"" D each","-122.41883,37.780382","37.780382,-122.41883","Public Display : District 6 : Civic Center Courthouse, 400 McAllister","Stainless Steel, glass","stainless steel, glass",San Francisco Arts Commission,Courthouse Entry Doors
424,1998,"deSoto, Lewis",01/01/1970 12:33:17 AM +0000,Commissioned for Art Enrichment of the courthouse,varies,"-122.41883,37.780382","37.780382,-122.41883","City Department : Civic Center Courthouse, 400 McAllister : Jury Assembly Room :","Maple, stainless steel, glass, lighting","maple, stainless steel, glass, lighting",San Francisco Arts Commission,Jury Assembly Room
425,1998,"Riley, Cheryl",01/01/1970 12:33:13 AM +0000,Artist funded by NEA and Susie Tompkins Buell Foundation,"48"" H X 36"" W X 24""D","-122.3973036,37.7299279","37.7299279,-122.3973036",City Department : Bayview Police Station : 345 Williams,"Maple, Clay, Glass, Bone, Horn, Ceramic Beads, Dutch gold leaf","maple, clay, glass, bone, horn, ceramic beads, dutch gold leaf",San Francisco Arts Commission,On Target Podium
426,1998,"Riley, Cheryl",01/01/1970 12:33:18 AM +0000,Art enrichment funded in part by the Susie Tompkins Buell Foundation,,"-122.399247,37.729805","37.729805,-122.399247",City Department : Bayview Police Station : 345 Williams Ave.,Bronze,bronze,San Francisco Arts Commission,Indian Spoon Sconces
427,1998,"Riley, Cheryl",01/01/1970 12:33:18 AM +0000,Gift of the artist to the San Francisco Police Department,,"-122.399247,37.729805","37.729805,-122.399247",City Department : Bayview Police Station : 345 Williams Ave.,bronze,bronze,San Francisco Arts Commission,Indian Spoon Sconces
428,1998,"Chagoya, Enrique",01/01/1970 12:33:18 AM +0000,Gift of the Mexican Government to the San Francisco main Library,,"-122.4596396,37.7243765","37.7243765,-122.4596396",Public Display : District 6 : Main Library,"Rembrandt medium pastel, charcoal","rembrandt medium pastel, charcoal",San Francisco Arts Commission,Authors of Latin American Roots
429,1999,"Carnwath, Squeak",01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,"17 1/2' X 17 1/2' square; each panel is 30"" square","-122.389979,37.615223","37.615223,-122.389979","Airport : IT : Boarding Area G, Gate 94",Porcelain enamel,porcelain enamel,San Francisco Arts Commission,"Fly, Flight, Fugit"
430,1999,Mandel and Sultan,01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,19 1/2' H X 19 1/2' W,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Area A : Gate A7,Mosaic tile,mosaic tile,San Francisco Arts Commission,Waiting
431,1999,"Sonnier, Keith",01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Area G : Arrivals corridor,"Neon, Argon and Fluorescent lighting","neon, argon and fluorescent lighting",San Francisco Arts Commission,Ceiling Flood
432,1999,rigo 99,01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Area G,Hand cut ceramic tile,hand cut ceramic tile,San Francisco Arts Commission,Thinking of Balmy Alley
433,1999,"Frey, Viola",01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"180"" H X 240"" W","-122.389979,37.615223","37.615223,-122.389979","Airport : IT : Boarding Area A : Departures, A4",Ceramic tile,ceramic tile,San Francisco Arts Commission,World Civilization
434,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"32"" H X 50"" L","-122.4220004,37.742354","37.742354,-122.4220004","Public Display : District 9 : Mission at 30th, west side",concrete,concrete,San Francisco Arts Commission,Others
435,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 9 : Mission St. Sidewalk  : Between Precita and Cortla,Concrete,concrete,San Francisco Arts Commission,Pavers
436,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"35"" H X 52"" L","-122.4191378,37.7467769","37.7467769,-122.4191378","Public Display : District 9 : Mission at Precitia, west side",concrete,concrete,San Francisco Arts Commission,Ballast
437,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2""","-122.4198851,37.7456473","37.7456473,-122.4198851","Public Display : District 9 : Mission at Valencia, west side",concrete,concrete,San Francisco Arts Commission,Feed
438,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"19"" H X 14 1/2"" W","-122.4198851,37.7456473","37.7456473,-122.4198851","Public Display : District 9 : Mission at Valencia, west side",concrete,concrete,San Francisco Arts Commission,Eat
439,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"35"" H X 22"" W","-122.4209034,37.7440438","37.7440438,-122.4209034","Public Display : District 9 : Mission at 29th, west side",concrete,concrete,San Francisco Arts Commission,Bed
440,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"18"" H X 29"" L","-122.4228311,37.7410238","37.7410238,-122.4228311","Public Display : District 9 : Mission at Cortland, west side",concrete,concrete,San Francisco Arts Commission,Switch
441,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"12"" diameter","-122.4214819,37.7431399","37.7431399,-122.4214819","Public Display : District 8 : Mission at Virginia, east side",concrete,concrete,San Francisco Arts Commission,Hunt
442,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"18"" H X 12"" W","-122.4183776,37.7514492","37.7514492,-122.4183776",Public Display : District 9 : Mission St.,concrete,concrete,San Francisco Arts Commission,Road
443,1999,"Goggin, Brian",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"22"" H X 35"" L","-122.4198851,37.7456473","37.7456473,-122.4198851","Public Display : District 9 : Mission at Valencia, east side",concrete,concrete,San Francisco Arts Commission,Grow
444,1999,"Leong, Lampo",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,26' diameter,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Woh Hei Yuen Park : Powell St. Between Jackson and,"black, yellow and red granite","black, yellow and red granite",San Francisco Arts Commission,Tectonic Melange
445,1999,"Fuller (Mcchesney), Mary",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,cast concrete,cast concrete,San Francisco Arts Commission,Lion
446,1999,"Fuller (Mcchesney), Mary",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Public Art Program,"Varies from 144"" L to 15"" L X 23"" W to 15"" W","-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,Cast Concrete,cast concrete,San Francisco Arts Commission,Untitled
447,1999,"Fuller (Mcchesney), Mary",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,cast concrete,cast concrete,San Francisco Arts Commission,Serpent Wall
448,1999,"Fuller (Mcchesney), Mary",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,cast concrete,cast concrete,San Francisco Arts Commission,Lion
449,1999,"Fuller (Mcchesney), Mary",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment by the Publi Art Program,,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square,cast concrete,cast concrete,San Francisco Arts Commission,Benches
450,1999,"Sarantitis, Joshua",01/01/1970 12:33:19 AM +0000,Commissioned by the San Francisco Art Commission for the Recreation and Park Department.,Wall length is approx. 30',"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 10 : Jackson Playground : Arkansas St. and Mariposa,glazed ceramic tile,glazed ceramic tile,San Francisco Arts Commission,The Child Sees: Big Snail Fish
451,1999,"Donahue, Marcia",01/01/1970 12:33:14 AM +0000,Purchased by the Public Art Program for Chinatown Park,"varies from 30"" L X 30"" W to 52"" L X 42"" W","-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 3 : Woh Hei Yeun Park : Powell St. Between Jackson and,Granite,granite,San Francisco Arts Commission,Five Carved Stones
452,1999,"Chagoya, Enrique",01/01/1970 12:33:19 AM +0000,Commissioned by the Public Art Program for San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"-122.389979,37.615223","37.615223,-122.389979","Airport : IT : Boarding Area A, Gate A8",glass tiles,glass tiles,San Francisco Arts Commission,Love Letters
453,1999,"Asawa, Ruth",01/01/1970 12:33:19 AM +0000,Commissioned by the Redevelopment Agency,,"-122.4312691,37.7853921","37.7853921,-122.4312691","Public Display : District 5 : Japan Town, Post St.",bronze,bronze,San Francisco Arts Commission,Origami Fountains
454,1999,"Barth, Anders",01/01/1970 12:33:17 AM +0000,San Francisco Art Commission Public Art Project,,"-122.5018724,37.7792703","37.7792703,-122.5018724","City Department : Fire Station #34, Geary @ 41st Ave.",terracotta relief,terracotta relief,San Francisco Arts Commission,Phoenix
455,1999,"Riley, Cheryl",01/01/1970 12:33:19 AM +0000,Commissioned for art enrichment of the 911 Emergency Center,"7' H X 63 'L overall; concrete tiles 12"" X 12""; resin tiles 4"" X 4"".","-122.4194155,37.7749295","37.7749295,-122.4194155",City Department : 911 Emergency Services Center : 1011 Turk St. : Exterior,"Cast concrete, GFRC tile and resin, mixed media, found objects.","cast concrete, gfrc tile and resin, mixed media, found objects.",San Francisco Arts Commission,Angels of Mercy
456,1999,"Montoya, Emmanuel C.",01/01/1970 12:33:18 AM +0000,Commissioned by the Public Art Program for the Mission Library,,"-122.415783,37.778864","37.778864,-122.415783",Public Display : District 9 : Mission Library,linocut print; Prisma color,linocut print; prisma color,San Francisco Arts Commission,"Deities of Knowledge, Culture and Literature"
457,2000,"Garza, Carmen Lomas",01/01/1970 12:33:19 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Area G : Gate G93,Copper and powder-coated steel.,copper and powder-coated steel.,San Francisco Arts Commission,Baile!
458,2000,"Preston, Anne",01/01/1970 12:33:20 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"19' di X 14' 5 D dome; 16' di floor; 612' 2"" sections tile 42 1/2"" L X 30.9"" H","-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Concourse A : Arrivals Corridor,Cast fiberglass,cast fiberglass,San Francisco Arts Commission,You Were in Heaven
459,2000,"Barth, Anders",01/01/1970 12:33:20 AM +0000,Commissioned for the Tenderloin Police Station,"24' 4"" X 8' 2"" overall","-122.4129435,37.7837739","37.7837739,-122.4129435",City Department : Tenderloin Police Station : Jones St. Facade,Hand cut ceramic tiles,hand cut ceramic tiles,San Francisco Arts Commission,First Person Plural
460,2000,"Alicia/Montoya, Juana/Emmanuel",01/01/1970 12:33:20 AM +0000,Commissioned for San Francisco International Airport,,"-122.389979,37.615223","37.615223,-122.389979",Airport : Boarding Area G : Gate 97,fresco buono and wood relief,fresco buono and wood relief,San Francisco Arts Commission,Sanctuario
461,2000,"deSoto, Lewis",01/01/1970 12:33:20 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"plaques are 12"" diameter; floor is 12, 000 sq feet","-122.389979,37.615223","37.615223,-122.389979","Airport : International Terminal, Arrivals","bronze, terrazzo, brass","bronze, terrazzo, brass",San Francisco Arts Commission,On The Air
462,2000,"Garcia, Rupert",01/01/1970 12:33:20 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,204 in. x 300 in.,"-122.389979,37.615223","37.615223,-122.389979",Airport : IT : Boarding Area G : Gate G102,Ceramic Tile,ceramic tile,San Francisco Arts Commission,Bird Technology
463,2000,"Hung, Su-Chen",01/01/1970 12:33:20 AM +0000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"-122.389979,37.615223","37.615223,-122.389979","Airport : International Terminal, Immigration Area",Cast glass,cast glass,San Francisco Arts Commission,Welcome
464,2000,"Kricken, John and Rolph",01/01/1970 12:33:20 AM +0000,Commissioned for the Roald Amundsen Monument,,"-122.5108707,37.7704354","37.7704354,-122.5108707","Public Display : District 1 : GGP, JFK at Great Highway",bronze,bronze,San Francisco Arts Commission,Amundsen Historical Plaque
465,2000,"Patlan, Eduardo and Pineda, Ray",01/01/1970 12:33:20 AM +0000,Commissioned for art enrichment of Jose Coronado Playground Recreation Center,varies,"-122.4236112,37.7567494","37.7567494,-122.4236112","Public Display : District 10 : Jose Coronado Playground, Folsom and 21st St.",Glazed terracotta tile,glazed terracotta tile,San Francisco Arts Commission,Raizes/Roots
